對話方式,角色,內容,站位,表情差分,服裝,背景,7,8,9
旁白,0,呼，反正現在也沒人在意我了，我還不腳底抹油，開溜！,,,,,,,
,,{CreateBackground},,,,黑幕,,,
,0,＊轉黑幕,,,,,,,
對話,長老,「我大費周章讓你妳轉學進去，就是要妳找機會慢慢接近徐林，為什麼會變成這樣子啊？」,,,,,,,
對話,晴光,「妳只說廟裡有人保護，那就直接進學校找他，又沒說要慢慢接近。」,,不耐煩,,,,,
對話,長老,「但妳也不需要這麼『直接』啊。」,,,,,,,
對話,晴光,「就讓他去洗澡就會把衣服脫掉、護符也會拿下來，有什麼不對嗎？」,,說話,,,,,
對話,長老,「痾，也不能說不對……算了算了，總之妳得先跟他親近、讓他放下戒心，懂嗎？」,,,,,,,
對話,晴光,「人類真麻煩，就算活了兩百多年，還是沒搞懂。」,,不耐煩,,,,,
對話,長老,「那只是因為妳沒有認真去理解過吧。」,,,,,,,
對話,晴光,「你說什麼？」,,說話,,,,,
對話,長老,「沒什麼，總之你要先跟他交朋友，不要一上去就叫他脫衣服。」,,,,,,,
對話,晴光,「好啦。」,,不耐煩,,,,,
,,{EndDialouge},,,,,,,
