對話方式,角色,內容,腳色佔位,表情差分,服裝,背景,7,8,9
旁白,0,吃了傳聞中的「九份芋圓」、也去了網路必吃的小吃名店，留下到此一遊的印記。,,,,,,,
旁白,0,入夜，如時光倒流，在三十年前漫遊。,,,,,,,
對話,彩霞,「我們去那邊坐坐吧？」,,燦笑,,,,,
旁白,0,我往彩霞所指之處看去，那是一間大型的景觀咖啡廳。,,,,,,,
對話,我,「看妳的表情，我有不太好的預感。」,,無言,,,,,
對話,彩霞,「先去看看嘛，真的不行再說嘍。」,,燦笑,,,,,
旁白,0,嗯，這裡的風景確實很漂亮，但……,,,,,,,
對話,我,「靠，一杯紅茶一百五？我乾脆去山下買十五罐麥香紅茶上來堆成塔位，搞不好還可以算批發價。」,,生氣,,,,,
旁白,0,我義憤填膺，但三個女人莫名大笑。,,,,,,,
對話,夜雨,「放心啦，還有剩一萬塊呢。」,,微笑,,,,,
對話,晴光,「這樣很貴嗎？我看這一路上都差不多這個價格啊。」,,不耐煩,,,,,
對話,彩霞,「好啦好啦，別生氣了，小氣鬼喝杯涼水喔。」,,調皮,,,,,
旁白,0,幹！因為一路上都是風景區啊，妳們這些不付錢的都只會說風涼話！,,,,,,,
對話,夜雨,「好拉，不然我們兩個人叫一份意思意思，回去的路上有一間雜貨店，再去買餅乾或泡麵吧？」,,說話,,,,,
對話,我,「果然還是夜雨心疼我啊，妳們兩個多學著點。」,,微笑,,,,,
對話,晴光,「哼。」,,哼,,,,,
對話,彩霞,「想當正宮的人果然就是不一樣啊。」,,曖昧,,,,,
,,{CreateBackground},,,,九份夜景,,,
旁白,0,於是我跟夜雨一起吃一個小火鍋，隨便吃了些火鍋料和冬粉就算數，來遊樂區還要吃飽本來就是奢求。,,,,,,,
旁白,0,就算那配料少得可憐的火鍋早就吃完了，我們依然捨不得那花錢買來的氣氛。,,,,,,,
旁白,0,坐在溫暖的木質藤椅上，以星空為背景，看著底下燈火通明，浪漫得像互訴情衷的戀人。,,,,,,,
對話,彩霞,「沒想到時間過得那麼快，明天就要回去了。」,,說話,,,,,
對話,我,「妳還沒玩夠？」,,無奈,,,,,
對話,彩霞,「倒不是沒玩夠，但都沒有發生什麼（逼──）跟（逼──）之類充滿青春賀爾蒙的事情，未免太可惜了。」,,害羞,,,,,
旁白,0,已經夠多了，再多我的小心臟受不了好嗎？,,,,,,,
對話,夜雨,「其實我也有點遺憾，明明準備好要夜襲的，但都沒有成功。」,,哀傷,,,,,
旁白,0,如果我年紀輕輕就心臟病或中風肯定是妳們害的！,,,,,,,
對話,晴光,「我的護符也還沒拿到，妳們覺得剪刀之類的會有用嗎？」,,雙手環胸,,,,,
旁白,0,說幾次不要在本人面前講這個！而且我都說要借妳了！ ,,,,,,,
對話,我,「妳們誰再多說一句，今天晚上就睡街上吧！」,,生氣,,,,,
對話,彩霞,「啊，說到晚上，我們來抽鑰匙吧。」,,說話,,,,,
對話,我,「抽鑰匙？」,,說話,,,,,
對話,彩霞,「其實我為了今天晚上準備了兩個行程喔，兩個房間的鑰匙代表今晚要做的事情，完成之後可以獲得我的『特殊獎勵』喔。」,,曖昧,,,,,
對話,我,「我可以先問特殊獎勵是什麼嗎？」,,無奈,,,,,
對話,彩霞,「你第一時間想到要做什麼，就是那個。」,,曖昧,,,,,
旁白,0,該死的，我完全沒辦法說我想的是什麼。,,,,,,,
對話,我,「妳這個肯定是蓄謀已久吧？」,,無奈,,,,,
對話,彩霞,「ㄟ嘿，別這麼直接說出來嘛，人家會害羞的。」,,調皮,,,,,
對話,彩霞,「怎麼樣，妳們兩個願意加入嗎？」,,說話,,,,,
對話,夜雨,「聽起來不錯，不管誰能先達到目的，都不能有怨言喔。」,,撥頭髮,,,,,
對話,晴光,「好吧，也只能這樣了。」,,雙手環胸,,,,,
對話,彩霞,「三票對一票，合作愉快。」,,興奮,,,,,
對話,我,「就說不要在我面前討論這些了啊！」,,生氣,,,,,
對話,彩霞,「別裝了，臉紅成這樣，心裡指不定多開心呢是吧。」,,曖昧,,,,,
對話,我,「我才不會因為這樣而高興呢，嘿嘿嘿......」,,色瞇瞇,,,,,
旁白,,{CreateOption},,,,抽左邊。抽右邊,,,
