對話方式,角色,內容,佔位,表情差分,服裝,背景,7,8,9
旁白,0,比起剛才那直接全身脫光的驚嚇感，如今晴光表情橫眉豎目，一身破爛卻顯得楚楚可憐，像是剛剛被（逼──）。,,,,,,,
旁白,0,確實是讓人想要非常想要「吃掉」呢！,,,,,,,
,,{CreateBackground},,,,泳裝CG,,,
對話,彩霞,「妳們別吵了，不如讓徐林來決定哪邊比較好吧。」,,,,,,,
對話,晴光,「肯定是我比較好吧！」,,,,,,,
對話,夜雨,「明明是我這邊比較好！」,,,,,,,
對話,彩霞,「其實我覺得像我這樣大小適中的，男生們會更喜歡呢。」,,,,,,,
旁白,0,晴光、夜雨與彩霞同時擠在我面前，閃得我墨鏡面前都一片白晃晃的──,,,,,,,
對話,夜雨,「啊！鼻血！」,,,,,,,
對話,彩霞,「太刺激了嗎？嘻嘻。」,,,,,,,
對話,晴光,「充滿靈力的血，別浪費了。」,,,,,,,
旁白,0,什麼意思？,,,,,,,
旁白,0,晴光突然撲了上來，伸出舌頭舔在我的人中上。,,,,,,,
旁白,0,柔軟的嘴唇，輕輕吸吮著我的鼻頭。,,,,,,,
旁白,0,我感覺全身都硬了，血液更是沸騰，一陣暈眩感衝上──,,,,,,,
對話,晴光,「啊！」,,,,,,,
對話,夜雨,「嗚！」,,,,,,,
對話,彩霞,「喂！別暈啊！好玩的才要開始呢！」,,,,,,,
,,{CreateBackground},,,,旅館,,,
旁白,0,＊轉場夜晚旅館,,,,,,,
旁白,0,嗚，頭好痛啊，這是哪裡……,,,,,,,
旁白,0,我從暈眩中轉醒，試著搞清楚狀況，卻發現眼前一片白光，亮得我睜不開眼。,,,,,,,
旁白,0,不會吧？這裡是天國嗎？我就這樣死了嗎？,,,,,,,
旁白,0,就算真的死了也該有轉生到異世界的套路吧？我這樣怎麼要求特殊能力？這種「爽死」的死法說給神聽都不會有神信啊！,,,,,,,
旁白,0,我忍不住胡思亂想，卻感覺到頭越來越痛、還喘不太過氣來，幾乎要再次暈死過去。,,,,,,,
旁白,0,奇怪，我又沒喝酒，為什麼頭會痛？是不是搞錯了什麼？,,,,,,,
對話,夜雨,「妳快放開他！他快死了啦！」,,說話,,,,,
旁白,0,卻聽夜語大喊一聲，接著是一陣混亂的打鬥聲，我才終於能鬆口氣，發現──「靠！妳夾著我的頭到底想幹嗎啊！」,,,,,,,
旁白,0,晴光一刀奪命剪刀腳夾著我的頭頸，一雙手更死命掐著脖子，竟然是想要我的命？？？,,,,,,,
對話,晴光,「別礙事啦！只差一點就拿到了！」,,不耐煩,,,,,
對話,我,「妳到底想拿什麼啊！是我的項上人頭嗎！」,,驚訝,,,,,
對話,晴光,「別管那麼多！乖乖待著就是了！」,,生氣,,,,,
對話,我,「屁啦！我才不想英年早逝啊！」,,驚訝,,,,,
旁白,0,我當然不可能任由她取我性命，趁著夜雨幫忙，連忙抽身離開。,,,,,,,
旁白,0,我好不容易喘過氣，再次感謝主賜我生命，我以後一定會好好珍惜的！,,,,,,,
對話,我,「妳到底想幹嗎？說起來我們才認識不到兩天，妳一直跟著我們到底想怎樣？」,,無奈,,,,,
對話,晴光,「呿，真囉嗦，今天就先放過你，但我不會就這樣放棄的。」,,哼,,,,,
旁白,0,晴光自顧自把話說完，卻是轉頭就走了。,,,,,,,
對話,夜雨,「你沒事吧？」,,說話,,,,,
對話,我,「沒事，但差點就掛了。」,,說話,,,,,
對話,夜雨,「我看她並不是想要殺死你，但她的舉動真的很奇怪。」,,說話,,,,,
對話,我,「我也搞不懂她到底想幹什麼，奇怪，我怎麼想都不記得以前招惹過這號人物啊……」,,無奈,,,,,
旁白,0,我鬆了鬆脖子、伸手一摸，卻發現上頭有一條勒痕，剛才疼痛跟喘不過氣的感覺恐怕大多由此而來。,,,,,,,
旁白,0,勒痕該是來自我身上的護符綁繩，晴光怕是想要硬取下這護身符，才會有那般舉動。,,,,,,,
旁白,0,這護身符「聽說」是爸媽留給我的遺物，我有記憶以來就戴在身上，也就這麼一直戴著。,,,,,,,
旁白,0,聽說護符裡隱藏的巨大的力量，但可能是因為戴習慣了，也沒甚麼感覺。,,,,,,,
旁白,0,而且這個護符對一般人並沒有任何用處，當然也賣不了錢，我不明白她拿這護身符想做什麼。,,,,,,,
旁白,0,如果要搞清楚晴光的來歷跟目的，勢必得與她單獨談談。,,,,,,,
旁白,0,但我跟她非親非故，或許就該離她遠點，要是她硬跟過來，就去申請保護令好了？,,,,,,,
對話,夜雨,「彩霞訂了『知名民宿』的兩間雙人大床房喔，她們現在應該在另外一間。」,,說話,,,,,
旁白,0,嘖嘖，這人花我的錢一點都不心痛，恐怕我打工的錢已經被花了大半。,,,,,,,
對話,夜雨,「那兩人太危險了，我覺得應該要讓我貼身保護你，今天晚上就讓我跟妳一起睡吧！」,,興奮二,,,,,
對話,我,「好像有點道理，但我怎麼覺得跟妳在一起也挺危險的……」,,無奈,,,,,
旁白,0,這時候該怎麼做呢？,,,,,,,
,,{CreateOption},,,,前去找晴光。留下陪夜雨,,,
,,,,,,,,,
